id,company_name,contact_name,contact_title,postal_code,country,contact
38,Fireball Fabrications,Jenkin Dixon,Marketing Manager,G3H9D4,Pakistan,2820510662
39,Assemble Gurus,Riordan Dixon,Accounting Manager,KT111,United States,9802710804
40,Agility Facilities,Janek Dixon,Sales Manager,BAZ8E2,Cambodia,6581411390
41,Castiron Construction,Ellison Dixon,Purchasing Manager,M491P,United Kingdom,6228973199
42,Cellus Manufacturing Co,Shaun Dixon,Regional Account Rep.,N266K,Russia,1136925070
43,Konstruct Automotive,Amory Dixon,Coordinator Foreign Markets,6GZF,Hungary,6334694664
44,Strong Heart Industries,Darius Dixon,International Marketing Mgr.,1F11P,Bangladesh,6612567729
45,Distributed Goods,Adolfo Dixon,Owner,349G0L,Greece,2036160071
46,Royal Rumble,Gideon Dixon,Purchasing Manager,301P78,Bulgaria,6088301066
47,Sunfire Manufacturing,Laomedon Dixon,Wholesale Account Agent,004U11,"Korea, North",8793088302
48,Pipestone Manufacturing,Tavin Dixon,Sales Representative,Y23L1,Hungary,8352839850
49,Barrel Ridge Industries,Ailbert Dixon (Al),Owner,17KCU,United Arab Emirates,1606046719
50,Rural Japanese Electric,Eliasz Dixon,Sales Agent,2GJ0,Netherlands,4866748470
51,Manestical Energy Co,Sandy Dixon,Regional Account Rep.,2PQ4,Egypt,1608657820
52,Banyon Ridge Manufacturing,Anika Dixon,International Marketing Mgr.,69UP,Cambodia,3769777924
53,Core & Ore Productions,Peyton Dixon,Purchasing Manager,0439F3,Belgium,3481163839
54,Manufacturing Corner,Eduard Dixon,Purchasing Manager,50RD4F,Poland,5740476273
55,Dover Plastics,Nora Dixon,Order Administrator,99M6G,Morocco,6892546029
56,Driggs & Stratton Industrial,Joao Dixon,Marketing Manager,8JVP,Iran,5414691432
57,Overseas Demand,Stevie Dixon (Steve),Owner,537I3,Belarus,2088796265
58,Modernical Mechanics,Ardghal Dixon,Sales Agent,T5O1,Brazil,5095375013
59,Produzione Systems,Grover Dixon,Wholesale Account Agent,3335Y,Malaysia,4730988387
60,Southern Chemical Co,Audrick Dixon,Accounting Manager,EL6D,Poland,9940946835
