id,name,contact_name,title,postal_code,country,contact
LINOD,LINO-Delicateses,Felipe Izquierdo,Owner,4980,Venezuela,(8) 34-56-12
LONEP,Lonesome Pine Restaurant,Fran Wilson,Sales Manager,97219,USA,(503) 555-9573
MAGAA,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,24100,Italy,035-640230
MAISD,Maison Dewey,Catherine Dewey,Sales Agent,B-1180,Belgium,(02) 201 24 67
MEREP,Mère Paillarde,Jean Fresnière,Marketing Assistant,H1J 1C3,Canada,(514) 555-8054
MORGK,Morgenstern Gesundkost,Alexander Feuer,Marketing Assistant,4179,Germany,0342-023176
NORTS,North/South,Simon Crowther,Sales Associate,SW7 1RZ,UK,(171) 555-7733
OCEAN,Océano Atlántico Ltda.,Yvonne Moncada,Sales Agent,1010,Argentina,(1) 135-5333
OLDWO,Old World Delicatessen,Rene Phillips,Sales Representative,99508,USA,(907) 555-7584
OTTIK,Ottilies Käseladen,Henriette Pfalzheim,Owner,50739,Germany,0221-0644327
PARIS,Paris spécialités,Marie Bertrand,Owner,75012,France,(1) 42.34.22.66
PERIC,Pericles Comidas clásicas,Guillermo Fernández,Sales Representative,5033,Mexico,(5) 552-3745
PICCO,Piccolo und mehr,Georg Pipps,Sales Manager,5020,Austria,6562-9722
PRINI,Princesa Isabel Vinhos,Isabel de Castro,Sales Representative,1756,Portugal,(1) 356-5634
QUEDE,Que Delícia,Bernardo Batista,Accounting Manager,02389-673,Brazil,(21) 555-4252
QUEEN,Queen Cozinha,Lúcia Carvalho,Marketing Assistant,05487-020,Brazil,(11) 555-1189
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,1307,Germany,0372-035188
RANCH,Rancho grande,Sergio Gutiérrez,Sales Representative,1010,Argentina,(1) 123-5555
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,87110,USA,(505) 555-5939
REGGC,Reggiani Caseifici,Maurizio Moroni,Sales Associate,42100,Italy,0522-556721
RICAR,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,02389-890,Brazil,(21) 555-3412
RICSU,Richter Supermarkt,Michael Holz,Sales Manager,1203,Switzerland,0897-034214
ROMEY,Romero y tomillo,Alejandra Camino,Accounting Manager,28001,Spain,(91) 745 6200
SANTG,Santé Gourmet,Jonas Bergulfsen,Owner,4110,Norway,07-98 92 35
SAVEA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,83720,USA,(208) 555-8097
SEVES,Seven Seas Imports,Hari Kumar,Sales Manager,OX15 4NB,UK,(171) 555-1717
SIMOB,Simons bistro,Jytte Petersen,Owner,1734,Denmark,31 12 34 56
SPECD,Spécialités du monde,Dominique Perrier,Marketing Manager,75016,France,(1) 47.55.60.10
SPLIR,Split Rail Beer & Ale,Art Braunschweiger,Sales Manager,82520,USA,(307) 555-4680
SUPRD,Suprêmes délices,Pascale Cartrain,Accounting Manager,B-6000,Belgium,(071) 23 67 22 20
THEBI,The Big Cheese,Liz Nixon,Marketing Manager,97201,USA,(503) 555-3612
THECR,The Cracker Box,Liu Wong,Marketing Assistant,59801,USA,(406) 555-5834
TOMSP,Toms Spezialitäten,Karin Josephs,Marketing Manager,44087,Germany,0251-031259
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,5033,Mexico,(5) 555-2933
TRADH,Tradição Hipermercados,Anabela Domingues,Sales Representative,05634-030,Brazil,(11) 555-2167
TRAIH,Trail's Head Gourmet Provisioners,Helvetius Nagy,Sales Associate,98034,USA,(206) 555-8257
VAFFE,Vaffeljernet,Palle Ibsen,Sales Manager,8200,Denmark,86 21 32 43
VICTE,Victuailles en stock,Mary Saveley,Sales Agent,69004,France,78.32.54.86
VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,51100,France,26.47.15.10
WANDK,Die Wandernde Kuh,Rita Müller,Sales Representative,70563,Germany,0711-020361
WARTH,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,90110,Finland,981-443655
WELLI,Wellington Importadora,Paula Parente,Sales Manager,08737-363,Brazil,(14) 555-8122
WHITC,White Clover Markets,Karl Jablonski,Owner,98128,USA,(206) 555-4112
WILMK,Wilman Kala,Matti Karttunen,Owner/Marketing Assistant,21240,Finland,90-224 8858
WOLZA,Wolski  Zajazd,Zbyszek Piestrzeniewicz,Owner,01-012,Poland,(26) 642-7012
